n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
10000000, 1.375000, 3.041667, 87910049, 25339478.000000, 62570571.000000, 6.257057, 43.654697, 684427820.000000, 560000000.000000, 124427820.000000, 12.442782, 18.574021
10000000, 2.875000, 6.541667, 81528997, 24199970.000000, 57329027.000000, 5.732903, 31.101621, 795674868.000000, 560000000.000000, 235674868.000000, 23.567487, 38.319228
10000000, 2.000000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.750000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.250000, 3.041667, 88154808, 25544749.000000, 62610059.000000, 6.261006, 45.373735, 672878320.000000, 560000000.000000, 112878320.000000, 11.287832, 16.725536
10000000, 1.000000, 3.041667, 85341181, 24724789.000000, 60616392.000000, 6.061639, 34.064293, 639905592.000000, 560000000.000000, 79905592.000000, 7.990559, 13.228160
10000000, 1.125000, 3.041667, 87105949, 25028905.000000, 62077044.000000, 6.207704, 43.042608, 668731256.000000, 560000000.000000, 108731256.000000, 10.873126, 15.336416
10000000, 1.625000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.500000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.375000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.250000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 4.000000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.500000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.125000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.375000, 2.166667, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
